firstName,date,email,gesture,tone,fav,img,textArea,
Judah,12/25/15,judah@fake-init-email.com,I'm such a pin-head! ,94,Yes,dweeb.png,I'm so sorry that I shaved your dog bald, please forgive me?
Garrett,11/12/39,I'm such a dweeb!,I'm such a pin-head!,12,Yes,bone.png,I'm so sorry that I wrecked your yacht this past weekend, please forgive me?
Judah, 12/25/2015,judah@fake-init-email.com,I'm such a bone-head!,28,Yes,pin.png,I'm so sorry that I wrecked your bike yesterday, please forgive me?
Debbie,12/25/15,Debbie@fake-init-email.com,I'm such a pin-head!,5,No,loser.png,I'm so sorry that I wrecked your car, please forgive me?
Ethan,12/25/15,Ethan@fake-init-email.com,I'm such a pin-head!,23,No,butt.png,I'm so sorry that I shaved your dog bald, please forgive me?
Hannah,12/25/15,hannah@fake-init-email.com,I'm such a pin-head!,7,Yes,jack.png,I'm so sorry that I wrecked your car, please forgive me?
Primp,12/25/15,hannah@fake-init-email.com,I'm such a bone-head!,14,No,loser.png,I'm so sorry that I wrecked your iPad yesterday, please forgive me?
Hannah,11/12/39,hannah@fake-init-email.com,I'm such a pin-head!,24,Yes,non-scenerio.png,I'm so sorry that I wrecked your car, please forgive me?
Anika,8/11/13,Anika@fake-init-email.com,I'm such a pin-head!,23,Yes,dweeb.png,I'm so sorry that I wrecked your house, please forgive me?
Josiah,11/12/39,Josiah@fake-init-email.com,I'm such a bone-head!,11,Yes,bone.png,I'm so sorry that I wrecked your house, please forgive me?
Garrett,12/25/15,Garrett@fake-init-email.com,I'm such a pin-head!,2,Yes,loser.png,I'm so sorry that I shaved your dog bald, please forgive me?
